species_nr,wetnaam,nednaam
658,Ilex aquifolium,Hulst
659,Illecebrum verticillatum,Grondster
660,Impatiens noli-tangere,Groot springzaad
661,Impatiens parviflora,Klein springzaad
662,Inula britannica,Engelse alant
663,Inula conyzae,Donderkruid
665,Iris pseudacorus,Gele lis
667,Isoetes lacustris,Grote biesvaren
668,Isoetes echinospora,Kleine biesvaren
669,Jasione montana,Zandblauwtje
670,Juncus acutiflorus,Veldrus
671,Juncus ambiguus,Zilte greppelrus
672,Juncus alpinoarticulatus s. atricapillus,Duinrus s.s.
673,Juncus articulatus,Zomprus
674,Juncus balticus,Noordse rus
675,Juncus bufonius,Greppelrus
677,Juncus capitatus,Koprus
678,Juncus compressus,Platte rus
679,Juncus conglomeratus,Biezenknoppen
680,Juncus effusus,Pitrus
681,Juncus filiformis,Draadrus
682,Juncus alpinoarticulatus s. alpinoarticulatus,Alpenrus
683,Juncus gerardi,Zilte rus
684,Juncus inflexus,Zeegroene rus
685,Juncus maritimus,Zeerus
686,Juncus pygmaeus,Dwergrus
687,Juncus squarrosus,Trekrus
688,Juncus subnodulosus,Paddenrus
689,Juncus tenageia,Wijdbloeiende rus
690,Juncus tenuis,Tengere rus
691,Juniperus communis,Jeneverbes
692,Knautia arvensis,Beemdkroon
693,Koeleria macrantha,Smal fakkelgras
695,Koeleria pyramidata,Breed fakkelgras
696,Petrorhagia prolifera,Mantelanjer
699,Lactuca serriola,Kompassla
700,Lamium album,Witte dovenetel
701,Lamium amplexicaule,Hoenderbeet
702,Lamiastrum galeobdolon,Gele dovenetel
703,Lamium hybridum,Ingesneden dovenetel
704,Lamium maculatum,Gevlekte dovenetel
706,Lamium purpureum,Paarse dovenetel s.s.
707,Lappula squarrosa,Stekelzaad
708,Lapsana communis,Akkerkool
710,Lathyrus aphaca,Naakte lathyrus
711,Lathyrus linifolius,Knollathyrus
713,Lathyrus nissolia,Graslathyrus
714,Lathyrus palustris,Moeraslathyrus
715,Lathyrus pratensis,Veldlathyrus
716,Lathyrus sylvestris,Boslathyrus
717,Lathyrus tuberosus,Aardaker
719,Leersia oryzoides,Rijstgras
720,Legousia hybrida,Klein spiegelklokje
721,Legousia speculum-veneris,Groot spiegelklokje
722,Lemna gibba,Bultkroos
723,Lemna minor,Klein kroos
724,Lemna trisulca,Puntkroos
725,Leontodon autumnalis,Vertakte leeuwentand
726,Leontodon hispidus,Ruige leeuwentand
727,Leontodon saxatilis,Kleine leeuwentand
728,Leonurus cardiaca,Hartgespan
729,Lepidium campestre,Veldkruidkers
730,Lepidium draba,Pijlkruidkers
732,Lepidium latifolium,Peperkers
733,Lepidium ruderale,Steenkruidkers
734,Leucojum aestivum,Zomerklokje
736,Ligustrum vulgare,Wilde liguster
738,Limonium vulgare,Lamsoor
739,Limosella aquatica,Slijkgroen
740,Linaria arvensis,Blauwe leeuwenbek
741,Cymbalaria muralis,Muurleeuwenbek
742,Kickxia elatine,Spiesleeuwenbek
743,Chaenorhinum minus,Kleine leeuwenbek
744,Kickxia spuria,Eironde leeuwenbek
745,Linaria vulgaris,Vlasbekje
746,Linnaea borealis,Linnaeusklokje
747,Linum catharticum,Geelhartje
748,Liparis loeselii,Groenknolorchis
749,Listera cordata,Kleine keverorchis
750,Listera ovata,Grote keverorchis
751,Lithospermum arvense,Ruw parelzaad
752,Lithospermum officinale,Glad parelzaad
753,Littorella uniflora,Oeverkruid
754,Lobelia dortmanna,Waterlobelia
755,Lolium multiflorum,Italiaans raaigras
756,Lolium perenne,Engels raaigras
758,Lolium temulentum,Dolik
759,Lonicera periclymenum,Wilde kamperfoelie
760,Lonicera xylosteum,Rode kamperfoelie
761,Lotus corniculatus v. corniculatus,Gewone rolklaver
762,Lotus glaber,Smalle rolklaver
763,Lotus pedunculatus,Moerasrolklaver
764,Ludwigia palustris,Waterlepeltje
765,Luronium natans,Drijvende waterweegbree
766,Luzula campestris,Gewone veldbies
769,Luzula luzuloides,Witte veldbies
770,Luzula pilosa,Ruige veldbies
771,Luzula sylvatica,Grote veldbies
772,Lychnis flos-cuculi,Echte koekoeksbloem
773,Lycium barbarum,Boksdoorn
774,Lycopodium annotinum,Stekende wolfsklauw
775,Lycopodium clavatum,Grote wolfsklauw
776,Diphasiastrum tristachyum,Kleine wolfsklauw
777,Lycopodiella inundata,Moeraswolfsklauw
778,Huperzia selago,Dennenwolfsklauw
779,Anchusa arvensis,Kromhals
780,Lycopus europaeus,Wolfspoot
781,Lysimachia nemorum,Boswederik
782,Lysimachia nummularia,Penningkruid
783,Lysimachia thyrsiflora,Moeraswederik
784,Lysimachia vulgaris,Grote wederik
785,Lythrum salicaria,Grote kattenstaart
786,Maianthemum bifolium,Dalkruid
788,Malva alcea,Vijfdelig kaasjeskruid
789,Malva moschata,Muskuskaasjeskruid
